Genesymbol	miRNA	Cancertype	Targetsiteclass
MYH11	hsa-miR-573	Prostate	Created
MYH11	hsa-miR-573	Prostate	Created
MYH11	hsa-miR-3616-5p	Prostate	Created
MYH11	hsa-miR-3616-5p	Prostate	Created
MYH11	hsa-miR-4795-5p	Prostate	Created
MYH11	hsa-miR-595	Prostate	Created
MYH11	hsa-miR-4795-5p	Prostate	Created
MYH11	hsa-miR-595	Prostate	Created
MYH11	hsa-miR-3616-5p	Prostate	Created
MYH11	hsa-miR-4795-5p	Prostate	Created
MYH11	hsa-miR-573	Prostate	Created
MYH11	hsa-miR-595	Prostate	Created
MYH11	hsa-miR-3616-5p	Prostate	Created
MYH11	hsa-miR-4795-5p	Prostate	Created
MYH11	hsa-miR-573	Prostate	Created
MYH11	hsa-miR-595	Prostate	Created
PAX7	hsa-miR-4286	Melanoma	Disrupted
RAB8A	hsa-miR-4701-3p	Lung	Disrupted
RAB8A	hsa-miR-1262	Lung	Disrupted
ZNF320	hsa-miR-137	Melanoma	Created
ZNF320	hsa-miR-656	Melanoma	Created
ZNF320	hsa-miR-5692b	Melanoma	Disrupted
ZNF320	hsa-miR-5692c	Melanoma	Disrupted
ZNF320	hsa-miR-126-5p	Melanoma	Created
ZNF320	hsa-miR-4795-3p	Melanoma	Created
ZNF320	hsa-let-7f-2-3p	Lung	Created
ZNF320	hsa-miR-1185-1-3p	Lung	Created
ZNF320	hsa-miR-1185-2-3p	Lung	Created
AFF4	hsa-miR-4257	Breast Cancer	Disrupted
AFF4	hsa-miR-548an	Breast Cancer	Created
AFF4	hsa-miR-361-5p	Breast Cancer	Disrupted
AFF4	hsa-miR-2115-3p	Breast Cancer	Disrupted
AXL	hsa-miR-9-5p	Breast Cancer	Created
AXL	hsa-miR-3065-3p	Breast Cancer	Disrupted
AXL	hsa-miR-9-5p	Breast Cancer	Created
AXL	hsa-miR-3065-3p	Breast Cancer	Disrupted
BCL11A	hsa-miR-5680	Breast Cancer	Created
BCL11A	hsa-miR-548c-3p	Breast Cancer	Disrupted
BCL11A	hsa-miR-5680	Breast Cancer	Created
BCL11A	hsa-miR-548c-3p	Breast Cancer	Disrupted
CRKL	hsa-miR-644b-5p	Breast Cancer	Created
CRKL	hsa-miR-4656	Breast Cancer	Disrupted
CRKL	hsa-miR-548av-5p	Breast Cancer	Created
CRKL	hsa-miR-548k	Breast Cancer	Created
CRKL	hsa-miR-548l	Breast Cancer	Created
CRKL	hsa-miR-548ab	Breast Cancer	Created
CRKL	hsa-miR-548i	Breast Cancer	Created
CRKL	hsa-miR-548aq-5p	Breast Cancer	Created
CRKL	hsa-miR-548a-5p	Breast Cancer	Created
CRKL	hsa-miR-548as-5p	Breast Cancer	Created
CRKL	hsa-miR-548y	Breast Cancer	Created
CRKL	hsa-miR-548ak	Breast Cancer	Created
CRKL	hsa-miR-548ar-5p	Breast Cancer	Created
CRKL	hsa-miR-548am-5p	Breast Cancer	Created
CRKL	hsa-miR-548au-5p	Breast Cancer	Created
CRKL	hsa-miR-548b-5p	Breast Cancer	Created
CRKL	hsa-miR-548c-5p	Breast Cancer	Created
CRKL	hsa-miR-548d-5p	Breast Cancer	Created
CRKL	hsa-miR-548h-5p	Breast Cancer	Created
CRKL	hsa-miR-548o-5p	Breast Cancer	Created
CRKL	hsa-miR-548w	Breast Cancer	Created
CRKL	hsa-miR-559	Breast Cancer	Created
CRKL	hsa-miR-548ap-5p	Breast Cancer	Created
CRKL	hsa-miR-548j	Breast Cancer	Created
CRKL	hsa-miR-5585-5p	Breast Cancer	Disrupted
CRKL	hsa-miR-548ao-5p	Breast Cancer	Disrupted
CRKL	hsa-miR-548ax	Breast Cancer	Disrupted
CRKL	hsa-miR-4519	Breast Cancer	Disrupted
CRKL	hsa-miR-558	Breast Cancer	Created
CRKL	hsa-miR-512-3p	Breast Cancer	Disrupted
EGFR	hsa-miR-4668-3p	Myeloid leukemia	Created
EGFR	hsa-miR-4722-3p	Colorectal adenocarcinoma	Disrupted
ERBB4	hsa-let-7a-2-3p	Acute myeloid leukemia	Created
ERBB4	hsa-let-7g-3p	Acute myeloid leukemia	Created
ERBB4	hsa-miR-557	Acute myeloid leukemia	Disrupted
ERBB4	hsa-miR-507	Acute myeloid leukemia	Disrupted
ERBB4	hsa-miR-493-5p	Acute myeloid leukemia	Created
ERBB4	hsa-miR-4719	Acute myeloid leukemia	Disrupted
ERBB4	hsa-let-7a-2-3p	Acute myeloid leukemia	Created
ERBB4	hsa-let-7g-3p	Acute myeloid leukemia	Created
ERBB4	hsa-miR-557	Acute myeloid leukemia	Disrupted
ERBB4	hsa-miR-507	Acute myeloid leukemia	Disrupted
ERBB4	hsa-miR-493-5p	Acute myeloid leukemia	Created
ERBB4	hsa-miR-4719	Acute myeloid leukemia	Disrupted
ERBB4	hsa-miR-432-3p	Colorectal adenocarcinoma	Disrupted
ERBB4	hsa-miR-1193	Colorectal adenocarcinoma	Created
ERBB4	hsa-miR-92a-1-5p	Colorectal adenocarcinoma	Created
ERBB4	hsa-miR-3134	Colorectal adenocarcinoma	Disrupted
ERBB4	hsa-miR-1246	Colorectal adenocarcinoma	Disrupted
ERBB4	hsa-miR-5004-3p	Colorectal adenocarcinoma	Created
ERBB4	hsa-miR-432-3p	Colorectal adenocarcinoma	Disrupted
ERBB4	hsa-miR-1193	Colorectal adenocarcinoma	Created
ERBB4	hsa-miR-92a-1-5p	Colorectal adenocarcinoma	Created
ERBB4	hsa-miR-3134	Colorectal adenocarcinoma	Disrupted
ERBB4	hsa-miR-1246	Colorectal adenocarcinoma	Disrupted
ERBB4	hsa-miR-5004-3p	Colorectal adenocarcinoma	Created
FGFR2	hsa-miR-4302	Colorectal adenocarcinoma	Created
FGFR2	hsa-miR-3664-5p	Colorectal adenocarcinoma	Disrupted
FGFR2	hsa-miR-4302	Colorectal adenocarcinoma	Created
FGFR2	hsa-miR-3664-5p	Colorectal adenocarcinoma	Disrupted
FGFR2	hsa-miR-4302	Colorectal adenocarcinoma	Created
FGFR2	hsa-miR-3664-5p	Colorectal adenocarcinoma	Disrupted
FGFR2	hsa-miR-4302	Colorectal adenocarcinoma	Created
FGFR2	hsa-miR-3664-5p	Colorectal adenocarcinoma	Disrupted
FGFR2	hsa-miR-4302	Colorectal adenocarcinoma	Created
FGFR2	hsa-miR-3664-5p	Colorectal adenocarcinoma	Disrupted
FGFR2	hsa-miR-4302	Colorectal adenocarcinoma	Created
FGFR2	hsa-miR-3664-5p	Colorectal adenocarcinoma	Disrupted
FGFR2	hsa-miR-4302	Colorectal adenocarcinoma	Created
FGFR2	hsa-miR-3664-5p	Colorectal adenocarcinoma	Disrupted
HMGA2	hsa-miR-4436a	Breast Cancer	Created
HMGA2	hsa-miR-5000-3p	Breast Cancer	Created
JUNB	hsa-miR-3960	Breast Cancer	Disrupted
JUNB	hsa-miR-25-5p	Breast Cancer	Created
JUNB	hsa-miR-1908	Breast Cancer	Disrupted
JUNB	hsa-miR-663a	Breast Cancer	Disrupted
JUNB	hsa-miR-658	Breast Cancer	Created
JUNB	hsa-miR-3184-5p	Breast Cancer	Created
JUNB	hsa-miR-423-5p	Breast Cancer	Created
JUNB	hsa-miR-744-5p	Breast Cancer	Disrupted
JUNB	hsa-miR-4467	Breast Cancer	Disrupted
KAT6A	hsa-miR-1305	Colorectal adenocarcinoma	Disrupted
KAT6A	hsa-miR-1305	Colorectal adenocarcinoma	Disrupted
KAT6A	hsa-miR-1305	Colorectal adenocarcinoma	Disrupted
KAT6A	hsa-miR-208a	Acute myeloid leukemia	Created
KAT6A	hsa-miR-208b	Acute myeloid leukemia	Created
KAT6A	hsa-miR-208a	Acute myeloid leukemia	Created
KAT6A	hsa-miR-208b	Acute myeloid leukemia	Created
KAT6A	hsa-miR-208a	Acute myeloid leukemia	Created
KAT6A	hsa-miR-208b	Acute myeloid leukemia	Created
MLLT6	hsa-miR-603	Colorectal adenocarcinoma	Disrupted
MLLT6	hsa-miR-329	Colorectal adenocarcinoma	Disrupted
MLLT6	hsa-miR-362-3p	Colorectal adenocarcinoma	Disrupted
MLLT6	hsa-miR-3941	Colorectal adenocarcinoma	Created
MLLT6	hsa-miR-4789-3p	Colorectal adenocarcinoma	Created
PICALM	hsa-miR-4760-3p	Colorectal adenocarcinoma	Created
PICALM	hsa-miR-664-3p	Colorectal adenocarcinoma	Created
PICALM	hsa-miR-4760-3p	Colorectal adenocarcinoma	Created
PICALM	hsa-miR-664-3p	Colorectal adenocarcinoma	Created
PICALM	hsa-miR-4760-3p	Colorectal adenocarcinoma	Created
PICALM	hsa-miR-664-3p	Colorectal adenocarcinoma	Created
PICALM	hsa-miR-4760-3p	Colorectal adenocarcinoma	Created
PICALM	hsa-miR-664-3p	Colorectal adenocarcinoma	Created
RNF213	hsa-miR-607	Breast Cancer	Disrupted
RNF213	hsa-miR-3613-3p	Breast Cancer	Disrupted
SMAP2	hsa-miR-3175	Colorectal adenocarcinoma	Created
SMAP2	hsa-miR-3150a-3p	Colorectal adenocarcinoma	Created
SMAP2	hsa-miR-939	Colorectal adenocarcinoma	Created
SMAP2	hsa-miR-4700-5p	Colorectal adenocarcinoma	Created
SMAP2	hsa-miR-4667-5p	Colorectal adenocarcinoma	Created
SMAP2	hsa-miR-3605-5p	Colorectal adenocarcinoma	Created
SMAP2	hsa-miR-5189	Colorectal adenocarcinoma	Disrupted
SMAP2	hsa-miR-3187-5p	Colorectal adenocarcinoma	Disrupted
SMAP2	hsa-miR-1285-3p	Colorectal adenocarcinoma	Disrupted
SMAP2	hsa-miR-612	Colorectal adenocarcinoma	Disrupted
SMAP2	hsa-miR-3175	Colorectal adenocarcinoma	Created
SMAP2	hsa-miR-3150a-3p	Colorectal adenocarcinoma	Created
SMAP2	hsa-miR-939	Colorectal adenocarcinoma	Created
SMAP2	hsa-miR-4700-5p	Colorectal adenocarcinoma	Created
SMAP2	hsa-miR-4667-5p	Colorectal adenocarcinoma	Created
SMAP2	hsa-miR-3605-5p	Colorectal adenocarcinoma	Created
SMAP2	hsa-miR-5189	Colorectal adenocarcinoma	Disrupted
SMAP2	hsa-miR-3187-5p	Colorectal adenocarcinoma	Disrupted
SMAP2	hsa-miR-1285-3p	Colorectal adenocarcinoma	Disrupted
SMAP2	hsa-miR-612	Colorectal adenocarcinoma	Disrupted
SMAP2	hsa-miR-3175	Colorectal adenocarcinoma	Created
SMAP2	hsa-miR-3150a-3p	Colorectal adenocarcinoma	Created
SMAP2	hsa-miR-939	Colorectal adenocarcinoma	Created
SMAP2	hsa-miR-4700-5p	Colorectal adenocarcinoma	Created
SMAP2	hsa-miR-4667-5p	Colorectal adenocarcinoma	Created
SMAP2	hsa-miR-3605-5p	Colorectal adenocarcinoma	Created
SMAP2	hsa-miR-5189	Colorectal adenocarcinoma	Disrupted
SMAP2	hsa-miR-3187-5p	Colorectal adenocarcinoma	Disrupted
SMAP2	hsa-miR-1285-3p	Colorectal adenocarcinoma	Disrupted
SMAP2	hsa-miR-612	Colorectal adenocarcinoma	Disrupted
SMAP2	hsa-miR-3175	Colorectal adenocarcinoma	Created
SMAP2	hsa-miR-3150a-3p	Colorectal adenocarcinoma	Created
SMAP2	hsa-miR-939	Colorectal adenocarcinoma	Created
SMAP2	hsa-miR-4700-5p	Colorectal adenocarcinoma	Created
SMAP2	hsa-miR-4667-5p	Colorectal adenocarcinoma	Created
SMAP2	hsa-miR-3605-5p	Colorectal adenocarcinoma	Created
SMAP2	hsa-miR-5189	Colorectal adenocarcinoma	Disrupted
SMAP2	hsa-miR-3187-5p	Colorectal adenocarcinoma	Disrupted
SMAP2	hsa-miR-1285-3p	Colorectal adenocarcinoma	Disrupted
SMAP2	hsa-miR-612	Colorectal adenocarcinoma	Disrupted
SPECC1	hsa-miR-4665-5p	Colorectal adenocarcinoma	Disrupted
SPECC1	hsa-miR-1275	Colorectal adenocarcinoma	Disrupted
SPECC1	hsa-miR-5572	Colorectal adenocarcinoma	Disrupted
SPECC1	hsa-miR-4260	Colorectal adenocarcinoma	Disrupted
SPECC1	hsa-miR-450a-3p	Colorectal adenocarcinoma	Disrupted
SPECC1	hsa-miR-129-5p	Colorectal adenocarcinoma	Disrupted
SPECC1	hsa-miR-4665-5p	Colorectal adenocarcinoma	Disrupted
SPECC1	hsa-miR-1275	Colorectal adenocarcinoma	Disrupted
SPECC1	hsa-miR-5572	Colorectal adenocarcinoma	Disrupted
SPECC1	hsa-miR-4260	Colorectal adenocarcinoma	Disrupted
SPECC1	hsa-miR-450a-3p	Colorectal adenocarcinoma	Disrupted
SPECC1	hsa-miR-129-5p	Colorectal adenocarcinoma	Disrupted
SPECC1	hsa-miR-4665-5p	Colorectal adenocarcinoma	Disrupted
SPECC1	hsa-miR-1275	Colorectal adenocarcinoma	Disrupted
SPECC1	hsa-miR-5572	Colorectal adenocarcinoma	Disrupted
SPECC1	hsa-miR-4260	Colorectal adenocarcinoma	Disrupted
SPECC1	hsa-miR-450a-3p	Colorectal adenocarcinoma	Disrupted
SPECC1	hsa-miR-129-5p	Colorectal adenocarcinoma	Disrupted
SUZ12	hsa-miR-16-1-3p	Colorectal adenocarcinoma	Created
SUZ12	hsa-miR-4302	Colorectal adenocarcinoma	Disrupted
TCTA	hsa-miR-5695	Breast Cancer	Created
TCTA	hsa-miR-4777-3p	Breast Cancer	Created
TCTA	hsa-miR-4640-3p	Breast Cancer	Disrupted
ZFYVE19	hsa-miR-1911-3p	Colorectal adenocarcinoma	Created
ZFYVE19	hsa-miR-624-5p	Colorectal adenocarcinoma	Created
ZFYVE19	hsa-miR-5006-5p	Colorectal adenocarcinoma	Disrupted
ZFYVE19	hsa-miR-4755-3p	Colorectal adenocarcinoma	Disrupted
ZFYVE19	hsa-miR-519a-3p	Colorectal adenocarcinoma	Disrupted
ZFYVE19	hsa-miR-519b-3p	Colorectal adenocarcinoma	Disrupted
ZFYVE19	hsa-miR-519c-3p	Colorectal adenocarcinoma	Disrupted
ZFYVE19	hsa-miR-373-3p	Colorectal adenocarcinoma	Disrupted
ZFYVE19	hsa-miR-520a-3p	Colorectal adenocarcinoma	Disrupted
ZFYVE19	hsa-miR-520b	Colorectal adenocarcinoma	Disrupted
ZFYVE19	hsa-miR-520c-3p	Colorectal adenocarcinoma	Disrupted
ZFYVE19	hsa-miR-520d-3p	Colorectal adenocarcinoma	Disrupted
ZFYVE19	hsa-miR-520e	Colorectal adenocarcinoma	Disrupted
ZFYVE19	hsa-miR-302a-3p	Colorectal adenocarcinoma	Disrupted
ZFYVE19	hsa-miR-302c-3p	Colorectal adenocarcinoma	Disrupted
ZFYVE19	hsa-miR-302d-3p	Colorectal adenocarcinoma	Disrupted
ZFYVE19	hsa-miR-302e	Colorectal adenocarcinoma	Disrupted
ZFYVE19	hsa-miR-372	Colorectal adenocarcinoma	Disrupted
ZFYVE19	hsa-miR-302b-3p	Colorectal adenocarcinoma	Disrupted
ABL2	hsa-miR-31-5p	Medulloblastoma	Created
ABL2	hsa-miR-3128	Medulloblastoma	Created
ABL2	hsa-miR-31-5p	Medulloblastoma	Created
ABL2	hsa-miR-3128	Medulloblastoma	Created
ABL2	hsa-miR-31-5p	Medulloblastoma	Created
ABL2	hsa-miR-3128	Medulloblastoma	Created
ABL2	hsa-miR-31-5p	Medulloblastoma	Created
ABL2	hsa-miR-3128	Medulloblastoma	Created
ABL2	hsa-miR-31-5p	Medulloblastoma	Created
ABL2	hsa-miR-3128	Medulloblastoma	Created
ABL2	hsa-miR-31-5p	Medulloblastoma	Created
ABL2	hsa-miR-3128	Medulloblastoma	Created
ABL2	hsa-miR-31-5p	Medulloblastoma	Created
ABL2	hsa-miR-3128	Medulloblastoma	Created
AKT2	hsa-miR-4436b-3p	Hepatocellular carcinoma	Disrupted
AKT2	hsa-miR-4509	Hepatocellular carcinoma	Disrupted
AKT2	hsa-miR-4436b-3p	Hepatocellular carcinoma	Disrupted
AKT2	hsa-miR-4509	Hepatocellular carcinoma	Disrupted
AKT2	hsa-miR-4436b-3p	Hepatocellular carcinoma	Disrupted
AKT2	hsa-miR-4509	Hepatocellular carcinoma	Disrupted
FGFR1	hsa-miR-330-3p	Medulloblastoma	Disrupted
FGFR1	hsa-miR-4708-3p	Medulloblastoma	Created
FGFR1	hsa-miR-4470	Medulloblastoma	Created
FGFR1	hsa-miR-330-3p	Medulloblastoma	Disrupted
FGFR1	hsa-miR-4708-3p	Medulloblastoma	Created
FGFR1	hsa-miR-4470	Medulloblastoma	Created
FGFR1	hsa-miR-330-3p	Medulloblastoma	Disrupted
FGFR1	hsa-miR-4708-3p	Medulloblastoma	Created
FGFR1	hsa-miR-4470	Medulloblastoma	Created
FGFR1	hsa-miR-330-3p	Medulloblastoma	Disrupted
FGFR1	hsa-miR-4708-3p	Medulloblastoma	Created
FGFR1	hsa-miR-4470	Medulloblastoma	Created
FGFR1	hsa-miR-330-3p	Medulloblastoma	Disrupted
FGFR1	hsa-miR-4708-3p	Medulloblastoma	Created
FGFR1	hsa-miR-4470	Medulloblastoma	Created
FGFR1	hsa-miR-330-3p	Medulloblastoma	Disrupted
FGFR1	hsa-miR-4708-3p	Medulloblastoma	Created
FGFR1	hsa-miR-4470	Medulloblastoma	Created
FGFR1	hsa-miR-330-3p	Medulloblastoma	Disrupted
FGFR1	hsa-miR-4708-3p	Medulloblastoma	Created
FGFR1	hsa-miR-4470	Medulloblastoma	Created
FGFR1	hsa-miR-330-3p	Medulloblastoma	Disrupted
FGFR1	hsa-miR-4708-3p	Medulloblastoma	Created
FGFR1	hsa-miR-4470	Medulloblastoma	Created
FGFR1	hsa-miR-330-3p	Medulloblastoma	Disrupted
FGFR1	hsa-miR-4708-3p	Medulloblastoma	Created
FGFR1	hsa-miR-4470	Medulloblastoma	Created
MAL	hsa-miR-4257	T-cell ALL	Created
MAL	hsa-miR-3942-3p	T-cell ALL	Created
MAL	hsa-miR-513a-5p	T-cell ALL	Disrupted
MAL	hsa-miR-27a-3p	T-cell ALL	Disrupted
MAL	hsa-miR-27b-3p	T-cell ALL	Disrupted
MAL	hsa-miR-4257	T-cell ALL	Created
MAL	hsa-miR-3942-3p	T-cell ALL	Created
MAL	hsa-miR-513a-5p	T-cell ALL	Disrupted
MAL	hsa-miR-27a-3p	T-cell ALL	Disrupted
MAL	hsa-miR-27b-3p	T-cell ALL	Disrupted
MAL	hsa-miR-4257	T-cell ALL	Created
MAL	hsa-miR-3942-3p	T-cell ALL	Created
MAL	hsa-miR-513a-5p	T-cell ALL	Disrupted
MAL	hsa-miR-27a-3p	T-cell ALL	Disrupted
MAL	hsa-miR-27b-3p	T-cell ALL	Disrupted
MAL	hsa-miR-4257	T-cell ALL	Created
MAL	hsa-miR-3942-3p	T-cell ALL	Created
MAL	hsa-miR-513a-5p	T-cell ALL	Disrupted
MAL	hsa-miR-27a-3p	T-cell ALL	Disrupted
MAL	hsa-miR-27b-3p	T-cell ALL	Disrupted
PAX3	hsa-miR-4317	Medulloblastoma	Disrupted
PAX3	hsa-miR-1225-5p	Medulloblastoma	Created
PAX3	hsa-miR-5681b	Medulloblastoma	Created
PAX3	hsa-miR-3945	Medulloblastoma	Disrupted
PAX3	hsa-miR-4253	Medulloblastoma	Disrupted
PAX3	hsa-miR-1256	Medulloblastoma	Disrupted
PAX3	hsa-miR-4317	Medulloblastoma	Disrupted
PAX3	hsa-miR-1225-5p	Medulloblastoma	Created
PAX3	hsa-miR-5681b	Medulloblastoma	Created
PAX3	hsa-miR-3945	Medulloblastoma	Disrupted
PAX3	hsa-miR-4253	Medulloblastoma	Disrupted
PAX3	hsa-miR-1256	Medulloblastoma	Disrupted
PAX3	hsa-miR-4317	Medulloblastoma	Disrupted
PAX3	hsa-miR-1225-5p	Medulloblastoma	Created
PAX3	hsa-miR-5681b	Medulloblastoma	Created
PAX3	hsa-miR-3945	Medulloblastoma	Disrupted
PAX3	hsa-miR-4253	Medulloblastoma	Disrupted
PAX3	hsa-miR-1256	Medulloblastoma	Disrupted
PAX3	hsa-miR-4317	Medulloblastoma	Disrupted
PAX3	hsa-miR-1225-5p	Medulloblastoma	Created
PAX3	hsa-miR-5681b	Medulloblastoma	Created
PAX3	hsa-miR-3945	Medulloblastoma	Disrupted
PAX3	hsa-miR-4253	Medulloblastoma	Disrupted
PAX3	hsa-miR-1256	Medulloblastoma	Disrupted
PAX3	hsa-miR-4317	Medulloblastoma	Disrupted
PAX3	hsa-miR-1225-5p	Medulloblastoma	Created
PAX3	hsa-miR-5681b	Medulloblastoma	Created
PAX3	hsa-miR-3945	Medulloblastoma	Disrupted
PAX3	hsa-miR-4253	Medulloblastoma	Disrupted
PAX3	hsa-miR-1256	Medulloblastoma	Disrupted
PAX7	hsa-miR-224-5p	T-cell ALL	Created
RASA1	hsa-miR-29b-2-5p	Medulloblastoma	Disrupted
RASA1	hsa-miR-29b-2-5p	Medulloblastoma	Disrupted
SPI1	hsa-miR-1207-3p	Hepatocellular carcinoma	Disrupted
SPI1	hsa-miR-1207-3p	Hepatocellular carcinoma	Disrupted
SRC	hsa-miR-449a	Medulloblastoma	Disrupted
SRC	hsa-miR-449b-5p	Medulloblastoma	Disrupted
SRC	hsa-miR-34c-5p	Medulloblastoma	Disrupted
SRC	hsa-miR-34a-5p	Medulloblastoma	Disrupted
SRC	hsa-miR-16-5p	Medulloblastoma	Created
SRC	hsa-miR-195-5p	Medulloblastoma	Created
SRC	hsa-miR-497-5p	Medulloblastoma	Created
SRC	hsa-miR-4519	Medulloblastoma	Created
SRC	hsa-miR-15a-5p	Medulloblastoma	Created
SRC	hsa-miR-15b-5p	Medulloblastoma	Created
SRC	hsa-miR-424-5p	Medulloblastoma	Created
SRC	hsa-miR-449a	Medulloblastoma	Disrupted
SRC	hsa-miR-449b-5p	Medulloblastoma	Disrupted
SRC	hsa-miR-34c-5p	Medulloblastoma	Disrupted
SRC	hsa-miR-34a-5p	Medulloblastoma	Disrupted
SRC	hsa-miR-16-5p	Medulloblastoma	Created
SRC	hsa-miR-195-5p	Medulloblastoma	Created
SRC	hsa-miR-497-5p	Medulloblastoma	Created
SRC	hsa-miR-4519	Medulloblastoma	Created
SRC	hsa-miR-15a-5p	Medulloblastoma	Created
SRC	hsa-miR-15b-5p	Medulloblastoma	Created
SRC	hsa-miR-424-5p	Medulloblastoma	Created
TPR	hsa-miR-515-3p	Hepatocellular carcinoma	Created
TPR	hsa-miR-519e-3p	Hepatocellular carcinoma	Created
TPR	hsa-miR-33b-3p	Hepatocellular carcinoma	Created
TPR	hsa-miR-4317	Hepatocellular carcinoma	Disrupted
ENTPD5	hsa-miR-550b-2-5p	"LiverCancer(NCC,JP)"	Created
ERBB3	hsa-miR-139-3p	"LiverCancer(RIKEN,JP)"	Created
REL	hsa-miR-5589-5p	"ProstateCancer(OICR,CA)"	Created
ABL2	hsa-miR-5006-5p	"LiverCancer(RIKEN,JP)"	Disrupted
AURKA	hsa-miR-21-3p	"BreastCarcinoma(WTSI,UK)"	Created
AURKA	hsa-miR-21-3p	"BreastCarcinoma(WTSI,UK)"	Created
AURKA	hsa-miR-21-3p	"BreastCarcinoma(WTSI,UK)"	Created
AURKA	hsa-miR-21-3p	"BreastCarcinoma(WTSI,UK)"	Created
AURKA	hsa-miR-21-3p	"BreastCarcinoma(WTSI,UK)"	Created
AURKA	hsa-miR-21-3p	"BreastCarcinoma(WTSI,UK)"	Created
PAX3	hsa-miR-1224-5p	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
BCAS3	hsa-miR-4485	"LiverCancer(NCC,JP)"	Created
